2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: NVDisplay.Container.exe      22748 Console                   29     15,604 K
2025-07-26 13:09:20 - 🪟 Running Process: audiodg.exe                  13120 Services                   0     18,428 K
2025-07-26 13:09:20 - 🪟 Running Process: ETDCtrl.exe                  15248 Console                   29      4,068 K
2025-07-26 13:09:20 - 🪟 Running Process: UserAwarenessHelper.exe      16184 Console                   29     13,072 K
2025-07-26 13:09:20 - 🪟 Running Process: uihost.exe                   22428 Console                   29     17,528 K
2025-07-26 13:09:20 - 🪟 Running Process: sihost.exe                   13336 Console                   29     22,228 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  17612 Console                   29     18,828 K
2025-07-26 13:09:20 - 🪟 Running Process: igfxEMN.exe                   1100 Console                   29      4,484 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  16232 Services                   0      1,128 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  19428 Console                   29      3,048 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2904 Console                   29     20,280 K
2025-07-26 13:09:20 - 🪟 Running Process: taskhostw.exe                21712 Console                   29      7,800 K
2025-07-26 13:09:20 - 🪟 Running Process: MicrosoftEdgeUpdate.exe       2916 Services                   0      1,724 K
2025-07-26 13:09:20 - 🪟 Running Process: explorer.exe                 12044 Console                   29   2,04,608 K
2025-07-26 13:09:20 - 🪟 Running Process: ShellHost.exe                24496 Console                   29     13,916 K
2025-07-26 13:09:20 - 🪟 Running Process: SECOCL64.exe                 11092 Console                   29      2,912 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   8332 Console                   29        516 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  15020 Console                   29     15,376 K
2025-07-26 13:09:20 - 🪟 Running Process: CrossDeviceResume.exe        14476 Console                   29     12,668 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchHost.exe               20212 Console                   29     49,976 K
2025-07-26 13:09:20 - 🪟 Running Process: StartMenuExperienceHost.e    21236 Console                   29     64,428 K
2025-07-26 13:09:20 - 🪟 Running Process: RuntimeBroker.exe            18056 Console                   29     13,976 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   8712 Console                   29      6,204 K
2025-07-26 13:09:20 - 🪟 Running Process: RuntimeBroker.exe            16584 Console                   29     10,164 K
2025-07-26 13:09:20 - 🪟 Running Process: Widgets.exe                   9872 Console                   29     19,352 K
2025-07-26 13:09:20 - 🪟 Running Process: WidgetService.exe             4368 Console                   29      5,232 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           18112 Console                   29     51,560 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           16604 Console                   29      3,212 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe            8308 Console                   29     16,172 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           11852 Console                   29     21,828 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           12636 Console                   29      5,732 K
2025-07-26 13:09:20 - 🪟 Running Process: ctfmon.exe                   15924 Console                   29     19,512 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           16944 Console                   29     27,496 K
2025-07-26 13:09:20 - 🪟 Running Process: RuntimeBroker.exe             9284 Console                   29     11,032 K
2025-07-26 13:09:20 - 🪟 Running Process: TextInputHost.exe            20760 Console                   29     46,964 K
2025-07-26 13:09:20 - 🪟 Running Process: smartscreen.exe              22704 Console                   29      5,904 K
2025-07-26 13:09:20 - 🪟 Running Process: SecurityHealthSystray.exe     7668 Console                   29      4,980 K
2025-07-26 13:09:20 - 🪟 Running Process: RtkAudUService64.exe         19840 Console                   29      4,852 K
2025-07-26 13:09:20 - 🪟 Running Process: WebCompanion.exe             15036 Console                   29     26,828 K
2025-07-26 13:09:20 - 🪟 Running Process: UnInstDaemon.exe              2316 Console                   29     15,640 K
2025-07-26 13:09:20 - 🪟 Running Process: BingWallpaper.exe             9588 Console                   29     75,996 K
2025-07-26 13:09:20 - 🪟 Running Process: DesktopExtension.exe         19052 Console                   29     17,620 K
2025-07-26 13:09:20 - 🪟 Running Process: HP.myHP.exe                  19032 Console                   29     26,008 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           14928 Console                   29     48,412 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe            3016 Console                   29      3,468 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           18700 Console                   29     25,328 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           20512 Console                   29     20,892 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           20948 Console                   29      6,416 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           18188 Console                   29     17,808 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           20376 Console                   29     57,388 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           11100 Console                   29      3,592 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe            1704 Console                   29     24,812 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           23760 Console                   29     20,988 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           21152 Console                   29      6,376 K
